,point,date,vwnd_mean,vwnd_median,vwnd_sd,vwnd_min,vwnd_max
67,Keraliou 2,2022-04-15T00:00:00,0.565833330154419,0.5,3.4864578247070312,-9.199999809265137,12.699999809265137
68,Keraliou 2,2023-03-18T00:00:00,1.2517130374908447,0.800000011920929,4.036990642547607,-8.90000057220459,12.600000381469727
69,Keraliou 3,2019-02-21T00:00:00,1.1314815282821655,1.2000000476837158,3.6688857078552246,-9.300000190734863,14.600000381469727
70,Keraliou 3,2022-04-15T00:00:00,0.5647222399711609,0.5,3.5379066467285156,-9.300000190734863,12.800000190734863
71,Keraliou 3,2023-03-18T00:00:00,1.257638931274414,0.800000011920929,4.098824977874756,-9.100000381469727,12.699999809265137
72,Glenan 1,2019-02-19T00:00:00,0.7455092072486877,0.44999998807907104,4.911152362823486,-15.0,16.30000114440918
73,Glenan 1,2022-03-26T00:00:00,0.8023611307144165,0.5,4.358564376831055,-9.100000381469727,15.800000190734863
74,Glenan 1,2023-03-16T00:00:00,0.657037079334259,-0.30000001192092896,5.194884300231934,-12.100000381469727,15.800000190734863
75,Glenan 3,2019-02-19T00:00:00,0.7354166507720947,0.4000000059604645,4.811896800994873,-14.5,16.100000381469727
76,Glenan 3,2022-03-26T00:00:00,0.786666750907898,0.5,4.2677903175354,-8.699999809265137,15.600000381469727
77,Glenan 3,2023-03-16T00:00:00,0.64124995470047,-0.30000001192092896,5.11661958694458,-11.699999809265137,15.600000381469727
78,Camaret 2,2019-02-22T00:00:00,1.082453727722168,1.3000000715255737,4.609968185424805,-12.40000057220459,17.100000381469727
79,Camaret 2,2022-03-27T00:00:00,1.0000463724136353,0.6000000238418579,4.345346927642822,-8.100000381469727,14.199999809265137
80,Camaret 2,2023-03-18T00:00:00,1.304444432258606,0.6000000238418579,4.876797676086426,-11.0,14.699999809265137
81,Molene 3,2019-02-22T00:00:00,1.036805272102356,1.600000023841858,5.7979326248168945,-16.100000381469727,18.30000114440918
82,Molene 3,2022-03-27T00:00:00,1.0269445180892944,0.699999988079071,5.297783851623535,-11.40000057220459,16.700000762939453
83,Molene 3,2023-03-19T00:00:00,1.2453703880310059,0.800000011920929,5.5330705642700195,-12.699999809265137,16.100000381469727
84,Trevignon 3,2019-02-19T00:00:00,0.6509722471237183,0.20000000298023224,4.121922969818115,-12.0,14.600000381469727
85,Trevignon 3,2022-03-25T00:00:00,0.7634721994400024,0.4000000059604645,3.7134745121002197,-8.0,14.0
86,Trevignon 3,2023-03-16T00:00:00,0.6076851487159729,-0.30000001192092896,4.462927341461182,-9.800000190734863,14.100000381469727
87,Meaban 3,2019-02-20T00:00:00,0.6783332824707031,0.10000000149011612,4.368734836578369,-12.5,13.199999809265137
88,Meaban 3,2022-03-24T00:00:00,0.8777315020561218,0.699999988079071,3.882310390472412,-7.800000190734863,14.5
89,Meaban 3,2023-03-15T00:00:00,0.34097233414649963,-0.44999998807907104,4.926843643188477,-11.199999809265137,15.199999809265137
