,point,date,abr_mean,abr_median,abr_sd,abr_min,abr_max
80,Camaret 2,2023-03-18T00:00:00,0.3106323182582855,0.29154759645462036,0.16438010334968567,0.060827624052762985,1.164001703262329
81,Molene 3,2019-02-22T00:00:00,0.37291908264160156,0.3203902840614319,0.21975910663604736,0.06708204001188278,1.2001665830612183
82,Molene 3,2022-03-27T00:00:00,0.47572845220565796,0.4200595021247864,0.26484987139701843,0.07999999821186066,1.4805405139923096
83,Molene 3,2023-03-19T00:00:00,0.4103882908821106,0.3746330738067627,0.1819210946559906,0.11045360565185547,1.151564121246338
84,Trevignon 3,2019-02-19T00:00:00,0.3332175314426422,0.2745905816555023,0.20691128075122833,0.07211102545261383,1.1107205152511597
85,Trevignon 3,2022-03-25T00:00:00,0.3769494593143463,0.34713107347488403,0.2245609611272812,0.0707106739282608,1.0191172361373901
86,Trevignon 3,2023-03-16T00:00:00,0.362537682056427,0.3047949969768524,0.21685755252838135,0.0707106739282608,1.338693380355835
87,Meaban 3,2019-02-20T00:00:00,0.26703667640686035,0.2332380712032318,0.14244337379932404,0.05830951780080795,0.6879680156707764
88,Meaban 3,2022-03-24T00:00:00,0.2889169156551361,0.27784886956214905,0.14949485659599304,0.05000000074505806,0.6824221611022949
89,Meaban 3,2023-03-15T00:00:00,0.28434810042381287,0.264007568359375,0.14240652322769165,0.07211102545261383,0.9073588252067566
